signal_id,signal_date,run_datetime_jst,ticker,name,sector,signal_type,raw_alerts,action_level,script_title,price_at_signal,high_52w,drawdown_pct,ma20,ma50,ma200,above_ma200,above_ma200_pct,recent_cross_above_ma200,return_1m_pct,return_3m_pct,return_6m_pct,return_20d_pct,return_60d_pct,topix_return_20d_pct,topix_return_3m_pct,relative_topix_20d_pct,relative_topix_3m_pct,volume_spike,recent_volume_spike_days,current_volume,avg_volume_20d,avg_turnover_20d,manual_review_done,review_date,fundamental_status,news_risk,earnings_risk,valuation_comment,personal_decision,decision_reason,paper_entry_date,paper_entry_price,planned_position_pct,stop_loss_price,target_review_price,exit_rule,actual_buy,actual_position_note,price_1w,return_1w_pct,topix_return_1w_pct,relative_return_1w_pct,price_1m,return_1m_forward_pct,topix_return_1m_pct,relative_return_1m_pct,price_3m,return_3m_forward_pct,topix_return_3m_pct,relative_return_3m_pct,price_6m,return_6m_forward_pct,topix_return_6m_pct,relative_return_6m_pct,max_gain_1m_pct,max_drawdown_1m_pct,max_gain_3m_pct,max_drawdown_3m_pct,result_label,notes
2026-05-11_5803.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,5803.T,フジクラ,AI基础设施 / 数据中心 / 电力 / 冷却,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,6832.0,6832.0,0.0,5910.75,4966.6625390625,3218.1307415771485,true,112.29715473435857,false,48.52173913043478,107.30518546098318,114.48714619499718,56.338672768878716,90.12149106912713,2.4725259858629833,8.892559658979815,53.866146783015736,98.41262580200336,false,0,40738700.0,52260295.0,306008600905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6503.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6503.T,三菱電機,AI基础设施 / 数据中心 / 电力 / 冷却,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,6447.0,6460.0,0.20123839009287925,6002.15,5670.48021484375,4543.169732666016,true,41.905329964786084,false,21.64150943396226,34.76320494476002,58.908277778636965,19.69922020051986,21.005190955323293,2.4725259858629833,8.892559658979815,17.226694214656877,25.870645285780206,false,1,7418200.0,6733790.0,40784781090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_1942.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,1942.T,関電工,AI基础设施 / 数据中心 / 电力 / 冷却,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,7165.0,7165.0,0.0,6404.95,6290.58076171875,4990.709001464844,true,43.56677574062064,false,18.175820550882406,30.5962381777231,63.7093067362831,17.942386831275712,29.1092879919173,2.4725259858629833,8.892559658979815,15.469860845412729,21.70367851874329,false,0,1230500.0,1461485.0,9668261600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6861.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6861.T,キーエンス,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,82300.0,84170.0,2.221694190329096,67886.0,63072.002421875,58105.33728515625,true,41.6393120585578,false,41.093776787245,48.20232718339539,35.81156609323677,41.1905987304855,54.98047112774464,2.4725259858629833,8.892559658979815,38.71807274462252,39.30976752441558,false,2,1114000.0,1091215.0,77223305150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6954.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6954.T,ファナック,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,7564.0,7564.0,0.0,6569.2,6236.904404296875,5351.739630126953,true,41.337219722338546,false,37.72760378732703,26.400071542874983,57.947819650142776,37.427325581395344,16.402869729556002,2.4725259858629833,8.892559658979815,34.954799595532364,17.50751188389517,false,1,8889100.0,7468650.0,50315438090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6506.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6506.T,安川電機,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,6574.0,6574.0,0.0,5386.95,4916.438505859375,4212.693259277344,true,56.05218788532733,false,52.63524495008127,38.72154936437266,51.943751855769605,51.54449054863992,27.61634051568802,2.4725259858629833,8.892559658979815,49.07196456277694,29.82898970539285,false,0,6630500.0,5287605.0,28704588330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6645.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6645.T,オムロン,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,6188.0,6247.0,0.9444533376020491,5201.35,4891.699921875,4218.861231689453,true,46.67465129024877,false,37.29753716441091,60.65818897248996,42.94176597545756,36.963258078795924,49.10334620077204,2.4725259858629833,8.892559658979815,34.490732092932944,51.765629313510146,false,1,2250400.0,1643350.0,8754252160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6273.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6273.T,SMC,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,82320.0,82860.0,0.6517016654598118,73220.0,69060.603671875,57152.73765625,true,44.03509503800262,false,32.51770766258855,38.53342935304038,59.579847701152474,32.496378561081606,29.61812451321517,2.4725259858629833,8.892559658979815,30.023852575218623,29.64086969406057,false,1,381900.0,359615.0,26703649950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6383.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6383.T,ダイフク,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,7578.0,7578.0,0.0,6619.2,6150.42,5165.145189208984,true,46.714172059131066,false,27.618726844055242,39.4809497515185,57.396297758952116,29.538461538461537,32.761037140854945,2.4725259858629833,8.892559658979815,27.065935552598553,30.58839009253869,false,2,2886600.0,2028890.0,13685788215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6324.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6324.T,ハーモニック・ドライブ,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,6400.0,6400.0,0.0,4699.5,4345.0943994140625,3404.555841064453,true,87.98340514218164,false,67.1018276762402,92.66615640631287,114.43124644378724,67.97900262467192,85.15967889193506,2.4725259858629833,8.892559658979815,65.50647663880893,83.77359674733304,false,0,1981700.0,1624560.0,7862609450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6481.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,6481.T,THK,工业自动化 / 机器人 / 精密制造,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,6931.0,6931.0,0.0,5760.15,5294.08,4393.228656005859,true,57.7655192275236,false,40.70239545269996,51.431068385405275,70.10337767183215,39.56906967378171,41.33360522022838,2.4725259858629833,8.892559658979815,37.096543687918725,42.53850872642546,false,1,1531200.0,1022425.0,5964725920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_7013.T_trend_weakness,2026-05-11,2026-05-13 00:40:13 JST,7013.T,IHI,防卫 / 航天 / 安全保障,trend_weakness,trend_weakness,E：风险警告，不建议新买入,趋势转弱，谨慎观察,2870.0,4487.14306640625,36.03948085616577,3103.825,3468.677861328125,2998.050065917969,false,-4.2711116593298515,true,-13.056649500151474,-18.34826719488243,-6.82345525987853,-14.097575576174803,-22.315155751718464,2.4725259858629833,8.892559658979815,-16.570101562037785,-27.240826853862245,true,2,42420100.0,21595755.0,66472178660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6701.T_trend_weakness,2026-05-11,2026-05-13 00:40:13 JST,6701.T,NEC,防卫 / 航天 / 安全保障,trend_weakness,trend_weakness,E：风险警告，不建议新买入,趋势转弱，谨慎观察,4101.0,6040.50927734375,32.108373454839366,4230.35,4150.096435546875,4760.169781494141,false,-13.847610731381055,false,2.2438294689603566,-21.031455604940653,-19.047162363256486,0.6627393225331346,-6.214750333988284,2.4725259858629833,8.892559658979815,-1.8097866633298487,-29.924015263920467,false,0,8014100.0,10416425.0,44197826960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
